"Date","Day","Comp","Round","Venue","Result","Squad","Opponent","Start","Pos","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int","Blocks","xG","npxG","xA","SCA","GCA","PassesCmp","PassesAtt","PassesCmp%","PassesPrgDist","Carries","CarriesPrgDist","DribblesSucc","DribblesAtt","Match Report","2017-2018"
"2017-08-05","Sat","DFL-Supercup","DFL-Supercup","Home","L 2 (4)–2 (5)","Dortmund","Bayern Munich","Y","FW","89","1","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","Match Report","2017-2018"
"2017-08-19","Sat","Bundesliga","Matchweek 1","Away","W 3–0","Dortmund","Wolfsburg","Y","RW","86","1","1","0","0","1","1","0","0","45","13","0","1","0","0.1","0.1","0.6","3","1","26","33","78.8","104","41","138","3","5","Match Report","2017-2018"
"2017-08-26","Sat","Bundesliga","Matchweek 2","Home","W 2–0","Dortmund","Hertha BSC","Y","FW","90","0","0","0","0","5","3","0","0","46","9","0","1","0","0.7","0.7","0.4","5","0","24","29","82.8","102","44","287","1","2","Match Report","2017-2018"
"2017-09-01","Fri","WCQ","Fifth round","Home","L 0–2","us United States","cr Costa Rica","Y","CM","86","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","Match Report","2017-2018"
"2017-09-05","Tue","WCQ","Fifth round","Away","D 1–1","us United States","hn Honduras","Y","AM","90","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","Match Report","2017-2018"
"2017-09-09","Sat","Bundesliga","Matchweek 3","Away","D 0–0","Dortmund","Freiburg","Y","AM","90","0","0","0","0","2","1","0","0","44","15","0","1","0","0.2","0.2","0.1","2","0","27","34","79.4","68","43","107","3","4","Match Report","2017-2018"
"2017-09-13","Wed","Champions Lg","Group stage","Away","L 1–3","de Dortmund","eng Tottenham","Y","FW","90","0","0","0","0","2","0","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2017-2018"
"2017-09-17","Sun","Bundesliga","Matchweek 4","Home","W 5–0","Dortmund","Köln","N","AM","24","0","0","0","0","0","0","0","0","17","9","0","1","1","0.0","0.0","0.0","0","0","13","17","76.5","28","16","97","0","0","Match Report","2017-2018"
"2017-09-20","Wed","Bundesliga","Matchweek 5","Away","W 3–0","Dortmund","Hamburger SV","Y","LW,RW","90","1","0","0","0","3","2","0","0","40","20","2","2","3","0.5","0.5","0.1","3","0","16","19","84.2","41","36","287","3","8","Match Report","2017-2018"
"2017-09-23","Sat","Bundesliga","Matchweek 6","Home","W 6–1","Dortmund","M'gladbach","Y","RW","64","0","0","0","0","1","0","0","0","37","8","0","1","1","0.0","0.0","0.0","1","0","27","32","84.4","36","40","240","7","9","Match Report","2017-2018"
"2017-09-26","Tue","Champions Lg","Group stage","Home","L 1–3","de Dortmund","es Real Madrid","N","","14","0","0","0","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2017-2018"
"2017-09-30","Sat","Bundesliga","Matchweek 7","Away","W 2–1","Dortmund","Augsburg","Y","LW,RW","90","0","0","0","0","2","0","0","0","44","15","3","1","1","0.2","0.2","0.4","6","0","19","29","65.5","119","34","199","3","6","Match Report","2017-2018"
"2017-10-06","Fri","WCQ","Fifth round","Home","W 4–0","us United States","pa Panama","Y","FW","56","1","1","0","0","","","0","0","","","","","","","","","","","","","","","","","","","Match Report","2017-2018"
"2017-10-10","Tue","WCQ","Fifth round","Away","L 1–2","us United States","tt Trinidad and Tobago","Y","FW","90","1","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","Match Report","2017-2018"
"2017-10-14","Sat","Bundesliga","Matchweek 8","Home","L 2–3","Dortmund","RB Leipzig","N","RB,RW","45","0","0","0","0","1","0","0","0","45","6","2","0","1","0.0","0.0","0.0","2","0","32","38","84.2","148","31","180","1","2","Match Report","2017-2018"
"2017-10-17","Tue","Champions Lg","Group stage","Away","D 1–1","de Dortmund","cy APOEL FC","Y","FW","90","0","0","0","0","2","0","0","0","","","","1","","","","","","","","","","","","","","","Match Report","2017-2018"
"2017-10-21","Sat","Bundesliga","Matchweek 9","Away","D 2–2","Dortmund","Eint Frankfurt","Y","RW","90","0","0","0","0","2","1","0","0","49","25","0","2","1","0.3","0.3","0.0","0","0","25","38","65.8","72","40","185","1","3","Match Report","2017-2018"
"2017-10-28","Sat","Bundesliga","Matchweek 10","Away","L 2–4","Dortmund","Hannover 96","Y","LW","90","0","0","0","0","1","1","0","0","61","14","0","1","2","0.1","0.1","0.4","2","0","20","40","50.0","46","60","301","10","13","Match Report","2017-2018"
"2017-11-01","Wed","Champions Lg","Group stage","Home","D 1–1","de Dortmund","cy APOEL FC","Y","RW","90","0","0","0","0","4","1","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2017-2018"
"2017-11-04","Sat","Bundesliga","Matchweek 11","Home","L 1–3","Dortmund","Bayern Munich","Y","LW","90","0","0","0","0","0","0","0","0","38","12","1","0","1","0.0","0.0","0.5","6","0","19","25","76.0","43","42","337","7","10","Match Report","2017-2018"
"2017-11-25","Sat","Bundesliga","Matchweek 13","Home","D 4–4","Dortmund","Schalke 04","Y","WB,RW","90","0","0","0","0","0","0","0","0","40","31","0","0","1","0.0","0.0","0.3","1","0","23","30","76.7","86","27","138","1","2","Match Report","2017-2018"
"2017-12-02","Sat","Bundesliga","Matchweek 14","Away","D 1–1","Dortmund","Leverkusen","Y","AM","90","0","0","0","0","1","0","0","0","50","12","2","0","0","0.1","0.1","0.0","1","0","29","35","82.9","67","47","226","5","8","Match Report","2017-2018"
"2017-12-06","Wed","Champions Lg","Group stage","Away","L 2–3","de Dortmund","es Real Madrid","Y","FW","90","0","0","0","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2017-2018"
"2017-12-09","Sat","Bundesliga","Matchweek 15","Home","L 1–2","Dortmund","Werder Bremen","Y","LW,RW,CM","90","0","0","0","0","2","0","0","0","63","13","1","2","0","0.1","0.1","0.0","3","0","41","47","87.2","115","58","285","3","7","Match Report","2017-2018"
"2017-12-12","Tue","Bundesliga","Matchweek 16","Away","W 2–0","Dortmund","Mainz 05","Y","LW","70","0","0","0","0","1","0","0","0","45","16","1","2","1","0.0","0.0","0.0","3","0","28","31","90.3","53","43","197","1","2","Match Report","2017-2018"
"2017-12-16","Sat","Bundesliga","Matchweek 17","Home","W 2–1","Dortmund","Hoffenheim","Y","LW,RW","90","1","0","0","0","2","2","0","0","52","23","2","0","2","1.0","1.0","0.0","1","0","21","29","72.4","108","46","246","8","10","Match Report","2017-2018"
"2017-12-20","Wed","DFB-Pokal","Round of 16","Away","L 1–2","Dortmund","Bayern Munich","Y","FW","90","0","0","0","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2017-2018"
"2018-01-19","Fri","Bundesliga","Matchweek 19","Away","D 1–1","Dortmund","Hertha BSC","Y","RW","85","0","0","0","0","1","1","1","0","53","13","0","1","0","0.0","0.0","0.4","3","0","34","40","85.0","138","49","259","2","6","Match Report","2017-2018"
"2018-01-27","Sat","Bundesliga","Matchweek 20","Home","D 2–2","Dortmund","Freiburg","Y","RW","67","0","0","0","0","0","0","0","0","31","13","0","1","0","0.0","0.0","0.1","2","0","17","24","70.8","14","27","145","2","3","Match Report","2017-2018"
"2018-02-02","Fri","Bundesliga","Matchweek 21","Away","W 3–2","Dortmund","Köln","Y","RW","72","0","1","0","0","3","0","0","0","42","10","0","3","0","0.2","0.2","0.0","0","0","24","30","80.0","70","34","213","0","3","Match Report","2017-2018"
"2018-02-10","Sat","Bundesliga","Matchweek 22","Home","W 2–0","Dortmund","Hamburger SV","Y","RW","85","0","1","0","0","1","0","0","0","42","24","5","0","3","0.8","0.8","0.9","1","1","21","27","77.8","97","36","134","4","6","Match Report","2017-2018"
"2018-02-16","Fri","Europa Lg","Round of 32","Neutral","W 3–2","de Dortmund","it Atalanta","Y","AM","85","0","0","0","0","0","0","0","0","","","","1","","","","","","","","","","","","","","","Match Report","2017-2018"
"2018-02-18","Sun","Bundesliga","Matchweek 23","Away","W 1–0","Dortmund","M'gladbach","N","RW","16","0","0","0","0","0","0","0","0","9","8","2","2","0","0.0","0.0","0.0","0","0","1","5","20.0","13","5","15","0","1","Match Report","2017-2018"
"2018-02-22","Thu","Europa Lg","Round of 32","Neutral","D 1–1","de Dortmund","it Atalanta","Y","AM","59","0","0","0","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2017-2018"
"2018-02-26","Mon","Bundesliga","Matchweek 24","Home","D 1–1","Dortmund","Augsburg","N","RW","14","0","0","0","0","0","0","0","0","13","4","0","0","0","0.0","0.0","0.0","1","0","8","10","80.0","26","11","51","0","1","Match Report","2017-2018"
"2018-03-03","Sat","Bundesliga","Matchweek 25","Away","D 1–1","Dortmund","RB Leipzig","N","RW","2","0","0","0","0","0","0","0","0","3","0","0","0","0","0.0","0.0","0.0","0","0","1","1","100.0","6","0","0","0","0","Match Report","2017-2018"
"2018-03-08","Thu","Europa Lg","Round of 16","Home","L 1–2","de Dortmund","at RB Salzburg","N","","29","0","1","0","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2017-2018"
"2018-03-11","Sun","Bundesliga","Matchweek 26","Home","W 3–2","Dortmund","Eint Frankfurt","Y","RW","90","0","1","0","0","1","0","0","0","38","10","2","0","1","0.0","0.0","0.7","2","1","18","28","64.3","88","29","199","1","2","Match Report","2017-2018"
"2018-03-18","Sun","Bundesliga","Matchweek 27","Home","W 1–0","Dortmund","Hannover 96","Y","RW","70","0","0","0","0","0","0","0","0","38","13","2","0","1","0.0","0.0","0.1","1","0","17","24","70.8","86","32","137","2","4","Match Report","2017-2018"
"2018-03-31","Sat","Bundesliga","Matchweek 28","Away","L 0–6","Dortmund","Bayern Munich","Y","RW","74","0","0","0","0","1","1","0","0","33","13","0","0","4","0.0","0.0","0.1","2","0","17","24","70.8","60","29","143","2","3","Match Report","2017-2018"
"2018-04-08","Sun","Bundesliga","Matchweek 29","Home","W 3–0","Dortmund","Stuttgart","Y","RW","90","1","0","0","0","3","2","0","0","43","11","0","0","0","0.4","0.4","0.3","3","0","20","30","66.7","93","39","284","6","6","Match Report","2017-2018"
"2018-04-15","Sun","Bundesliga","Matchweek 30","Away","L 0–2","Dortmund","Schalke 04","Y","RW","90","0","0","0","0","1","0","0","0","58","23","3","1","1","0.1","0.1","0.1","4","0","29","36","80.6","103","52","207","4","7","Match Report","2017-2018"
"2018-04-21","Sat","Bundesliga","Matchweek 31","Home","W 4–0","Dortmund","Leverkusen","Y","RW","72","0","1","0","0","1","0","0","0","40","10","1","0","1","0.2","0.2","0.4","5","2","16","25","64.0","103","31","149","3","5","Match Report","2017-2018"
"2018-04-29","Sun","Bundesliga","Matchweek 32","Away","D 1–1","Dortmund","Werder Bremen","Y","RW","61","0","0","0","0","0","0","0","0","24","10","3","1","1","0.0","0.0","0.0","0","0","11","16","68.8","48","19","37","1","1","Match Report","2017-2018"
"2018-05-05","Sat","Bundesliga","Matchweek 33","Home","L 1–2","Dortmund","Mainz 05","Y","RW","56","0","0","0","0","0","0","0","0","38","11","2","0","1","0.0","0.0","0.1","1","0","16","22","72.7","6","26","51","0","3","Match Report","2017-2018"
"2018-05-12","Sat","Bundesliga","Matchweek 34","Away","L 1–3","Dortmund","Hoffenheim","Y","WB","90","0","0","0","0","0","0","0","0","61","17","2","1","1","0.0","0.0","0.0","0","0","37","48","77.1","76","55","225","5","7","Match Report","2017-2018"
"2018-05-28","Mon","Friendlies (M)","Friendlies (M)","Home","W 3–0","us United States","bo Bolivia","Y","AM","88","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","Match Report","2017-2018"
"2018-08-20","Mon","DFB-Pokal","First round","Away","W 2–1","Dortmund","Greuther Fürth","Y","FW","77","0","0","0","0","2","1","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2018-2019"
"2018-08-26","Sun","Bundesliga","Matchweek 1","Home","W 4–1","Dortmund","RB Leipzig","Y","RW","76","0","0","0","0","0","0","0","0","43","11","1","1","2","0.0","0.0","0.1","2","1","11","23","47.8","126","29","114","1","1","Match Report","2018-2019"
"2018-09-18","Tue","Champions Lg","Group stage","Away","W 1–0","de Dortmund","be Club Brugge","N","LW","22","1","0","0","0","2","1","0","0","19","6","1","0","0","0.2","0.2","0.0","0","0","13","15","86.7","64","18","53","1","1","Match Report","2018-2019"
"2018-09-22","Sat","Bundesliga","Matchweek 4","Away","D 1–1","Dortmund","Hoffenheim","Y","RW","90","1","0","0","0","1","1","0","0","55","10","0","0","3","0.7","0.7","0.3","5","0","32","43","74.4","102","47","325","4","7","Match Report","2018-2019"
"2018-09-26","Wed","Bundesliga","Matchweek 5","Home","W 7–0","Dortmund","Nürnberg","Y","AM","90","0","1","0","0","3","1","0","0","85","5","0","0","1","0.1","0.1","0.2","4","2","60","70","85.7","158","81","329","3","7","Match Report","2018-2019"
"2018-09-29","Sat","Bundesliga","Matchweek 6","Away","W 4–2","Dortmund","Leverkusen","Y","AM","67","0","0","0","0","1","1","0","0","52","7","0","1","0","0.0","0.0","0.0","7","0","29","35","82.9","123","42","295","3","3","Match Report","2018-2019"
"2018-10-20","Sat","Bundesliga","Matchweek 8","Away","W 4–0","Dortmund","Stuttgart","N","LW","25","0","1","0","0","1","0","0","0","23","4","0","0","1","0.1","0.1","0.1","2","1","14","17","82.4","58","22","131","0","2","Match Report","2018-2019"
"2018-10-24","Wed","Champions Lg","Group stage","Home","W 4–0","de Dortmund","es Atlético Madrid","Y","RW","78","0","0","0","0","2","0","0","0","40","25","1","1","1","0.2","0.2","0.1","1","0","13","23","56.5","83","29","166","3","7","Match Report","2018-2019"
"2018-10-27","Sat","Bundesliga","Matchweek 9","Home","D 2–2","Dortmund","Hertha BSC","N","CM","19","0","0","0","0","0","0","0","0","13","5","0","0","0","0.0","0.0","0.0","0","0","6","12","50.0","11","9","34","1","1","Match Report","2018-2019"
"2018-10-31","Wed","DFB-Pokal","Second round","Home","W 3–2","Dortmund","Union Berlin","Y","AM","120","1","0","0","0","3","1","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2018-2019"
"2018-11-03","Sat","Bundesliga","Matchweek 10","Away","W 1–0","Dortmund","Wolfsburg","N","CM","13","0","0","0","0","1","0","0","0","10","5","1","1","1","0.1","0.1","0.0","1","0","1","3","33.3","0","11","34","2","3","Match Report","2018-2019"
"2018-11-06","Tue","Champions Lg","Group stage","Away","L 0–2","de Dortmund","es Atlético Madrid","Y","RW","58","0","0","0","0","0","0","0","0","42","6","2","1","0","0.0","0.0","0.0","0","0","27","33","81.8","39","33","72","0","2","Match Report","2018-2019"
"2018-11-10","Sat","Bundesliga","Matchweek 11","Home","W 3–2","Dortmund","Bayern Munich","N","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","Match Report","2018-2019"
"2018-11-15","Thu","Friendlies (M)","Friendlies (M)","Away","L 0–3","us United States","eng England","Y","AM","90","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","Match Report","2018-2019"
"2018-11-20","Tue","Friendlies (M)","Friendlies (M)","Away","L 0–1","us United States","it Italy","Y*","FW","82","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","Match Report","2018-2019"
"2018-11-24","Sat","Bundesliga","Matchweek 12","Away","W 2–1","Dortmund","Mainz 05","N","RW","13","0","0","0","0","0","0","0","0","17","7","0","1","2","0.0","0.0","0.0","0","0","5","10","50.0","5","14","61","0","0","Match Report","2018-2019"
"2018-11-28","Wed","Champions Lg","Group stage","Home","D 0–0","de Dortmund","be Club Brugge","Y","CM","90","0","0","0","0","2","1","0","0","81","8","1","1","2","0.2","0.2","0.2","3","0","58","69","84.1","114","76","205","8","9","Match Report","2018-2019"
"2018-12-08","Sat","Bundesliga","Matchweek 14","Away","W 2–1","Dortmund","Schalke 04","N","RW","2","0","0","0","0","0","0","0","0","3","1","1","0","0","0.0","0.0","0.0","0","0","1","2","50.0","0","1","0","0","0","Match Report","2018-2019"
"2018-12-11","Tue","Champions Lg","Group stage","Away","W 2–0","de Dortmund","fr Monaco","Y","RW,LW","90","0","0","0","0","0","0","0","0","67","17","1","1","1","0.0","0.0","0.0","2","1","45","58","77.6","200","61","352","5","7","Match Report","2018-2019"
"2018-12-15","Sat","Bundesliga","Matchweek 15","Home","W 2–1","Dortmund","Werder Bremen","N","CM","2","0","0","0","0","0","0","0","0","3","0","0","0","0","0.0","0.0","0.0","0","0","0","2","0.0","0","3","21","1","1","Match Report","2018-2019"
"2018-12-18","Tue","Bundesliga","Matchweek 16","Away","L 1–2","Dortmund","Düsseldorf","Y","CM","90","0","0","0","0","0","0","1","0","81","13","0","0","1","0.0","0.0","0.0","3","0","48","61","78.7","82","77","207","6","7","Match Report","2018-2019"
"2018-12-21","Fri","Bundesliga","Matchweek 17","Home","W 2–1","Dortmund","M'gladbach","N","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","Match Report","2018-2019"
"2019-01-19","Sat","Bundesliga","Matchweek 18","Away","W 1–0","Dortmund","RB Leipzig","N","LW","15","0","0","0","0","0","0","0","0","15","10","0","0","2","0.0","0.0","0.0","1","0","8","9","88.9","28","15","56","2","2","Match Report","2018-2019"
"2019-01-26","Sat","Bundesliga","Matchweek 19","Home","W 5–1","Dortmund","Hannover 96","N","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","Match Report","2018-2019"
"2019-02-02","Sat","Bundesliga","Matchweek 20","Away","D 1–1","Dortmund","Eint Frankfurt","N","RW","26","0","0","0","0","0","0","0","0","18","10","2","0","1","0.0","0.0","0.0","0","0","7","11","63.6","27","16","67","3","5","Match Report","2018-2019"
