R,Team,TotalShots,ShotsOutOfBox,ShotsSixYardBox,ShotsPenaltyArea,ShotsOpenPlay,ShotsCounter,ShotsSetPiece,PenaltyTaken,ShotsOffTarget,ShotsOnPost,ShotsOnTarget,ShotsBlocked,ShotsRightFoot,ShotsLeftFoot,ShotsHead,DribUnsuccessful,DribSuccessful,Total Dribbles,UnsuccessfulTouches,Dispossessed,AerialTotal,AerialWon,AerialLost,TotalPass,AccLB,InAccLB,AccSP,InAccSP,AccCr,InAccCr,AccCrn,InAccCrn,AccFrK,InAccFrK,CrossAss,CornerAss,ThroughballAss,FreekickAss,ThrowinAss,OtherAss,TotalAss,TotalTackles,DribbledPast,TotalAttemptedTackles,Interceptions,SavesSixYardBox,SavesPenaltyArea,SavesOutOfBox,TotalGoals,SixYardBoxGoals,PenaltyAreaGoals,OutOfBoxGoals
1,Bayern Munich,18.8,5.8,1.8,11.2,14.3,0.4,3.9,0.2,7.4,0.5,7.7,3.6,11,4.8,2.8,8.3,15.4,23.7,15.2,9.2,26.1,14,12.2,673.4,39.6,20.4,549.4,64,7,19.2,3.2,4.2,11.8,0.6,0.6,0.2,0.4,0,0,1.3,2.3,14.8,8.5,23.3,9.5,0.2,1.3,0.9,2.9,0.4,2.1,0.4
2,Borussia Dortmund,13.8,4.4,0.9,8.5,9.8,0.8,3.1,0.1,4.8,0.2,6,3,8.2,3.8,1.7,9.4,13.8,23.2,14.4,10.1,22.5,11.6,11,659.3,30.9,24.1,540,64.3,3.6,12.3,3.2,3,10.3,1.4,0.4,0.1,0.3,0,0,1.6,2.4,15.3,8.2,23.5,10.7,0.2,0.9,0.6,2.7,0.6,2,0.2
3,RasenBallsport Leipzig,16.3,5.4,1.3,9.6,11.1,0.8,4.2,0.2,6.3,0.2,6.4,3.6,9.6,3.7,2.9,7.1,12.1,19.2,17,8.8,29.6,15.4,14.2,534.4,25.6,25.6,412.6,70.5,5.3,13.7,2.7,2.9,11.2,1.3,0.4,0.2,0.1,0,0,1.1,1.6,18.8,11.5,30.3,11.1,0.2,1.7,0.7,2.5,0.6,1.4,0.5
4,Borussia M.Gladbach,13.7,4,1.2,8.5,9.2,0.6,3.7,0.2,4.4,0.4,5.8,3.4,7.6,3.7,2.2,8,12.6,20.5,14.4,9.5,35.2,17.4,17.7,465.6,26.5,26,350,63.1,4,13.4,1.9,3.4,10.9,1.5,0.4,0,0.1,0.2,0,1,1.6,16.7,10.9,27.6,12.4,0,2.5,1,2,0.4,1.4,0.1
5,Bayer Leverkusen,15.5,5.2,1.3,9,10.4,1.1,4,0,5.2,0.2,6,4.2,6.5,6.3,2.7,7.5,13.4,20.9,17.4,11.3,31,16.2,14.8,617.8,32.7,29.6,491,64.5,4.8,16.1,2.4,3.5,11,1.8,0.4,0.1,0.2,0,0,0.8,1.5,17.2,9.4,26.6,10.4,0.2,1.8,1,1.8,0.5,1,0.2
6,Wolfsburg,13.9,5.5,0.6,7.8,8.6,0.6,4.5,0.1,6.1,0.1,4.8,3,6,4.8,3.1,7.8,10.5,18.3,16,11.1,39.1,19.6,19.4,417.2,30.9,35.4,284.1,66.8,4.7,15.4,2.4,3,8.6,2.9,0.2,0,0.1,0,0,0.7,1,17.6,10.8,28.4,11.2,0.2,2.2,0.9,1.4,0.3,0.8,0.3
7,Eintracht Frankfurt,15,4.8,1.5,8.7,10,0.5,4.5,0,6.4,0.1,5.2,3.4,5.8,5.6,3.7,6,9.7,15.7,15.8,8.6,39.8,19.9,19.8,407.1,31.1,34.8,274.2,67.1,7,19.5,2.5,4,9.4,2.1,0.6,0.2,0,0,0,0.6,1.2,17.8,11.5,29.2,11,0,2.1,1.5,1.6,0.6,0.9,0
8,FC Koln,13,4.4,1.2,7.4,8.2,0.7,4.1,0,5.3,0.2,4.6,3.1,6.2,3.6,3.1,5.7,8.2,13.9,16,9,39.9,20.4,19.4,387.6,32.6,32.5,262.1,60.4,5.2,15,1.9,3.3,10.3,2,0.4,0.1,0.2,0.1,0,0.6,1.2,18.4,11.5,29.9,13.6,0,1.2,1.4,1.6,0.4,0.9,0.2
9,Schalke 04,11.7,4.6,0.5,6.6,7.7,0.6,3.4,0,5,0.3,4,2.6,6.4,3,2.2,7.9,11.9,19.8,18.8,12.4,37.2,19,18.2,434.8,28.2,34.4,312,60.2,3.5,9.9,2.4,2.7,8.8,2.7,0.1,0,0,0,0,0.7,0.8,17,11.4,28.4,11.7,0.1,2.2,1.3,1.3,0.2,0.8,0.2
10,Union Berlin,12.6,4.7,1,6.8,7.4,0.5,4.4,0.2,5.1,0.3,4.2,3.3,6,3.7,2.8,5.6,7.9,13.5,15.3,7.9,53.4,28.2,25.2,357.3,30.5,40.7,219.3,66.8,5.1,13.3,1.6,2,7.2,3.6,0.3,0.2,0,0.1,0,0.5,0.8,16.3,10.4,26.7,13,0.3,2.1,1.2,1.3,0.2,0.8,0.2
11,Freiburg,13.4,4.6,1.3,7.5,8.6,0.2,4.4,0.2,5.8,0.1,4.2,3.4,6.2,4.6,2.5,5.8,7.4,13.2,15.2,8.3,40.9,19.6,21.3,421,30,35.5,299,56.5,5.3,14.2,1.9,2.7,9.4,2.2,0.2,0.1,0.1,0.1,0,0.4,0.8,13.6,9.8,23.5,9.8,0.1,2.4,1.6,1.4,0.3,0.7,0.2
12,Hoffenheim,12.6,4.2,1,7.5,7.7,0.6,4.3,0.1,5.1,0.3,4.5,3.1,6.2,3.2,3.1,5.9,8.8,14.8,14,10.6,33.8,17.3,16.4,490,26.8,30.8,374.2,58.2,5.4,11.8,2.4,2.6,11.3,1.6,0.4,0.2,0.1,0,0,0.5,1,16.2,10.5,26.7,9.5,0.1,2.4,1,1.4,0.2,0.9,0.2
13,Hertha Berlin,10.8,3.9,0.6,6.2,7,0.6,3.1,0,5,0.3,3.4,2.5,5.1,3.4,2.3,5.3,10.8,16.1,16.2,10.6,36.3,19.7,16.6,398.6,33.4,33.6,272.8,58.7,4.2,11.5,1.6,2,9.7,2.6,0.3,0.1,0,0,0,0.6,1,16.6,9.2,25.8,12,0.2,2.1,1.4,1.3,0.1,0.9,0.2
14,Mainz 05,13.6,6,0.7,6.9,8.9,0.6,4.1,0.1,5.4,0.1,4.3,3.8,8,2.9,2.6,6.4,10.6,17,18.4,10,36,17,19.1,359,24.7,33.6,242.9,57.8,4.4,13.3,1.7,3.1,8.3,2,0.2,0.1,0.2,0,0,0.7,1,18.3,9.7,28,10.9,0.2,1.8,1.6,1.4,0.2,0.9,0.1
15,Paderborn,12.6,5.6,0.7,6.2,8,0.7,3.7,0.1,5,0,4.1,3.4,6.5,4.2,1.8,9.6,12.3,21.9,19.2,10.9,32.2,14.6,17.6,394.2,26,29.3,278.4,60.4,3.3,12.7,1.7,3.7,8.5,1.9,0.2,0,0,0,0,0.6,0.9,20.4,13.5,33.9,10.6,0.2,2.2,0.7,1.2,0.3,0.6,0.2
16,Augsburg,10.9,4.5,0.7,5.7,7.4,0.4,3,0.2,4.8,0.2,4.1,2,6.1,3.2,1.6,6.4,6.6,13,14.7,8.5,32.6,15.2,17.3,308,22,38.6,191.9,55.5,3.6,10.4,1.8,1.8,7.6,3.4,0.2,0,0.1,0,0,0.6,1,15,10.3,25.3,13.4,0.2,1.6,1.2,1.4,0.3,0.8,0.3
17,Fortuna Duesseldorf,12.4,6,0.5,5.9,8.2,0.4,3.7,0.1,5.4,0.1,3.6,3.3,5.9,4.4,2.1,6.2,8.2,14.5,14.4,7.7,36.3,16.9,19.4,381.1,34.3,32.6,258.2,55.9,4.7,15,1.4,2.8,10,2.7,0.3,0.1,0.1,0,0,0.4,0.8,14.8,10.6,25.4,10.7,0.2,2.3,1.2,1.1,0.2,0.8,0.1
18,Werder Bremen,12.9,5.2,0.6,7.1,9.2,0.4,3.2,0.2,5.4,0.2,4.2,3.3,6.5,4,2.4,5.9,7.7,13.6,16.8,10.7,36.7,17.2,19.5,448.7,26.5,30.3,327.1,64.8,4.1,13.8,1.9,2.8,10.8,3,0.3,0.1,0.1,0,0,0.4,0.8,15.5,10.2,25.7,12.1,0.1,1.7,1.3,1.1,0.2,0.6,0.2
