"Team","TotalTackles","DribbledPast","TotalAttemptedTackles","Interceptions","Fouled","Fouls","Yellow","Red","CaughtOffside","Clearances","ShotsBlocked","CrossesBlocked","PassesBlocked","TotalSaves","SixYardBoxSaves","PenaltyAreaSaves","OutOfBoxSaves","TotalShots","OutOfBoxShots","SixYardBoxShots","PenaltyAreaShots","TotalGoals","SixYardBoxGoals","PenaltyAreaGoals","OutOfBoxGoals","Unsuccessful","Successful","TotalDribbles","UnsuccessfulTouches","Dispossessed","TotalAerial","AerialWon","AerialLost","TotalPasses","AccLB","InAccLB","AccSP","InAccSP","TotalKeyPasses","LongKeyPasses","ShortKeyPasses","CrossAss","CornerAss","ThroughballAss","FreekickAss","OtherAss","TotalAss","OpenPlayShots","CounterShots","SetPieceShots","PenaltyShots","CrossKP","CornerKP","ThroughballKP","FreekickKP","ThrowinKP","OtherKP","League","percOppThird","percMiddleThird","attackMiddle","percOutofBoxShots","percSixYardBoxShots","percPenaltyAreaShots","percOutofBoxGoals","percSixYardBoxGoals","percPenaltyAreaGoals","percAerial","TotalLB","accLB","percLB","TotalSP","accSP","percLongKeyPasses","percCrossAss","percCornerAss","percThroughballAss","percFreekickAss","percSetPieceAss","percDribbles","percSetPieceShots","percCounterShots","percLongKP","percTBKP","percCrossKP","percSetPieceKP","team"
"New York City FC",17.2,10.5,27.7,10.1,12,13.7,2.3,0,2,18.9,2.6,1,7.9,2.6,0.1,1.3,1.2,15.2,6.5,0.5,8.2,1.9,0.3,1.2,0.4,6.3,9.5,15.7,16.3,10.4,30.1,15.2,15,509.6,35.9,32.6,377.9,63.2,11.2,2,9.3,0.1,0,0.1,0,1,1.3,10.9,0.6,3.4,0.3,2,1,0.3,0.3,NA,8.5,"MLS",26,44,30,0.427631578947368,0.0328947368421053,0.539473684210526,0.210526315789474,0.157894736842105,0.631578947368421,0.504983388704319,68.5,0.524087591240876,0.134419152276295,441.1,0.856721831784176,0.178571428571429,0.0769230769230769,0,0.0769230769230769,0,0,0.605095541401274,0.237762237762238,0.055045871559633,0.178571428571429,0.0277777777777778,0.185185185185185,0.116071428571429,"New York City FC"
"DC United",16.7,10.3,27,9.7,11.3,11.4,1.4,0.1,1.5,23,5.3,1.3,6.9,3.8,0.1,2,1.6,12.6,5,0.7,6.9,1.2,0.2,0.8,0.2,7.4,10.4,17.7,14.4,10,33.5,17.7,15.8,432.9,26.1,31.4,318.1,57.4,9.1,2.2,6.9,0.1,0,0.1,0.1,0.5,0.7,7.5,0.4,4.5,0.1,2.3,0.9,0.2,0.7,NA,6.3,"MLS",24,44,27,0.396825396825397,0.0555555555555556,0.547619047619048,0.166666666666667,0.166666666666667,0.666666666666667,0.528358208955224,57.5,0.453913043478261,0.132825132825133,375.5,0.847137150466045,0.241758241758242,0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0.587570621468927,0.375,0.0533333333333333,0.241758241758242,0.0227272727272727,0.261363636363636,0.175824175824176,"DC United"
"Minnesota United",17.5,9,26.5,12.7,9.4,11.5,1.6,0.1,1.5,19.4,3.6,1.4,7.2,3.8,0.2,1.9,1.7,13.7,4.9,1,7.8,1.5,0.3,1,0.2,7.1,10.4,17.5,16.4,9.8,29.6,13.6,15.9,405,26.8,29.6,294.2,54.3,10.2,2,8.2,0.2,0,0.2,0.1,0.6,1,10.4,0.3,2.8,0.2,2.4,0.8,0.4,0.3,NA,7.1,"MLS",27,44,28,0.357664233576642,0.072992700729927,0.569343065693431,0.133333333333333,0.2,0.666666666666667,0.459459459459459,56.4,0.475177304964539,0.139259259259259,348.5,0.844189383070301,0.196078431372549,0.2,0,0.2,0.1,0.1,0.594285714285714,0.212121212121212,0.0288461538461538,0.196078431372549,0.0404040404040404,0.242424242424242,0.107843137254902,"Minnesota United"
"Philadelphia Union",18.9,10.6,29.5,9.1,9.6,11.4,1.7,0.1,2.4,15.7,3.1,1.1,7.6,2.4,0.1,1.5,0.8,14,5.5,1.1,7.4,1.7,0.2,1.3,0.2,6.6,10.6,17.2,15.7,8.4,31.4,15.6,15.8,484,27.1,29.2,368.9,58.7,10.5,1.5,9,0.2,0,0.1,0,1,1.2,9.8,0.3,3.7,0.2,2,0.9,0.5,0.4,NA,7.5,"MLS",32,43,26,0.392857142857143,0.0785714285714286,0.528571428571429,0.117647058823529,0.117647058823529,0.764705882352941,0.496815286624204,56.3,0.481349911190053,0.116322314049587,427.6,0.862722170252572,0.142857142857143,0.166666666666667,0,0.0833333333333333,0,0,0.616279069767442,0.274074074074074,0.0306122448979592,0.142857142857143,0.05,0.2,0.123809523809524,"Philadelphia Union"
"San Jose Earthquakes",17.7,9.1,26.9,10.6,12.2,12.5,2.1,0.1,2.2,14.9,2.7,0.9,6.9,3.2,0.1,1.8,1.3,17.5,7.8,1.3,8.4,1.5,0.4,0.9,0.2,7.1,11.7,18.9,14.1,10.6,23.1,10.6,12.5,501.9,38.1,26.5,385,52.4,13.9,1.7,12.2,0.1,0,0.1,0,0.9,1.2,13.3,0.3,3.9,0,2.1,1.1,0.3,0.4,NA,11,"MLS",30,42,26,0.445714285714286,0.0742857142857143,0.48,0.133333333333333,0.266666666666667,0.6,0.458874458874459,64.6,0.589783281733746,0.128710898585376,437.4,0.880201188843164,0.122302158273381,0.0833333333333333,0,0.0833333333333333,0,0,0.619047619047619,0.226744186046512,0.0225563909774436,0.122302158273381,0.0223880597014925,0.156716417910448,0.107913669064748,"San Jose Earthquakes"
"Portland Timbers",16.9,10.3,27.2,10.1,9,13.5,2.2,0.2,1.6,19,3.1,1,6.4,3.6,0.2,2.2,1.2,16.5,6,0.9,9.6,1.5,0.3,0.9,0.3,6.1,8,14.1,14.3,7.7,27.7,13.8,13.9,450.9,34.8,26.9,333.5,55.7,13.2,3.1,10.2,0.3,0.1,0.1,0.1,0.6,1,11.5,0.9,4.1,0.1,3.6,1.7,0.3,0.4,NA,9.2,"MLS",30,42,31,0.363636363636364,0.0545454545454545,0.581818181818182,0.2,0.2,0.6,0.498194945848375,61.7,0.564019448946515,0.136837436238634,389.2,0.85688591983556,0.234848484848485,0.3,0.1,0.1,0.1,0.2,0.567375886524823,0.262820512820513,0.0782608695652174,0.234848484848485,0.0229007633587786,0.274809160305344,0.159090909090909,"Portland Timbers"
"FC Dallas",17.8,9.3,27.1,11,11.7,12.6,2,0,1.5,16.4,3,1.3,6.8,2.7,0.1,1.5,1.1,13.8,6.2,0.7,6.9,1.6,0.3,1,0.2,7,9.2,16.2,13.5,9.9,23,11.7,11.3,495.9,31.3,25.3,387.9,51.3,10.2,1.9,8.4,0.1,0.1,0.1,0,0.8,1,10,0.4,3.3,0.1,1.5,1.1,0.2,0.1,NA,8.1,"MLS",26,42,25,0.449275362318841,0.0507246376811594,0.5,0.125,0.1875,0.625,0.508695652173913,56.6,0.553003533568905,0.114135914498891,439.2,0.883196721311475,0.186274509803922,0.1,0.1,0.1,0,0.1,0.567901234567901,0.24812030075188,0.04,0.186274509803922,0.0204081632653061,0.153061224489796,0.117647058823529,"FC Dallas"
"Real Salt Lake",14,8.9,23,10.4,11.5,11.2,1.9,0.1,2.6,19.4,3.4,1.8,5.9,2.6,0.1,1.6,0.9,12.6,5.9,0.5,6.2,1.4,0.2,0.8,0.3,6.6,9.5,16.1,15.4,8.3,29.1,15.1,14,440.2,33.7,32.3,323,51.1,9.5,2,7.5,0.1,0,0.1,0,0.7,0.9,9.4,0.4,2.6,0.2,1.6,0.7,0.2,0.3,NA,7.3,"MLS",25,46,26,0.468253968253968,0.0396825396825397,0.492063492063492,0.214285714285714,0.142857142857143,0.571428571428572,0.518900343642612,66,0.510606060606061,0.149931849159473,374.1,0.863405506549051,0.210526315789474,0.111111111111111,0,0.111111111111111,0,0,0.590062111801242,0.216666666666667,0.0425531914893617,0.210526315789474,0.021978021978022,0.175824175824176,0.105263157894737,"Real Salt Lake"
"Chicago Fire",16.5,9.4,25.9,10.5,10.1,12,1.8,0.1,1.8,15.8,2.6,0.9,6.2,2.7,0.3,1.1,1.3,14.1,5.3,1.4,7.4,1.6,0.4,1,0.1,6.4,9,15.4,15.3,8,27.6,13.8,13.8,440.8,30.5,32.8,324.5,52.9,10.9,2.2,8.6,0.4,0.1,0,0.1,0.7,1.1,9.9,0.5,3.6,0.1,2.4,0.9,0.2,0.4,NA,8.1,"MLS",28,45,25,0.375886524822695,0.099290780141844,0.524822695035461,0.0625,0.25,0.625,0.5,63.3,0.481832543443918,0.143602540834846,377.4,0.859830418653948,0.201834862385321,0.363636363636364,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0.584415584415584,0.266666666666667,0.0505050505050505,0.201834862385321,0.0186915887850467,0.224299065420561,0.119266055045872,"Chicago Fire"
"New York Red Bulls",19.9,10.9,30.8,12,12.7,11.9,1.5,0.1,2,19.6,2.8,0.9,9.1,2.7,0.1,1.6,0.9,13.1,4.5,1,7.7,1.6,0.3,1.1,0.1,7.4,7.5,14.9,16.9,10,44.6,21.7,22.9,383,17.6,41,245,79.4,9.8,1.5,8.3,0.3,0,0.1,0,0.7,1,8.7,0.4,3.9,0.1,2.3,1,0.4,0.4,NA,6.8,"MLS",32,42,24,0.343511450381679,0.0763358778625954,0.587786259541985,0.0625,0.1875,0.6875,0.486547085201794,58.6,0.300341296928328,0.153002610966057,324.4,0.755240443896424,0.153061224489796,0.3,0,0.1,0,0,0.503355704697987,0.30952380952381,0.0459770114942529,0.153061224489796,0.0421052631578947,0.242105263157895,0.142857142857143,"New York Red Bulls"
"Seattle Sounders FC",15.8,8.6,24.4,10.4,12.1,10.2,1.5,0.1,1.6,17.2,3.1,1.4,7.5,3.4,0.1,1.6,1.6,12.5,4.2,1.2,7.1,1.5,0.3,1.1,0.1,6.2,8.3,14.5,14.5,10.9,27.3,13.9,13.4,471.8,32.2,26.1,354.1,59.4,9.8,1.2,8.6,0.2,0,0.1,0,0.7,1,8.5,0.4,3.6,0.1,2.6,1,0.3,0.4,NA,6.6,"MLS",27,45,23,0.336,0.096,0.568,0.0666666666666667,0.2,0.733333333333333,0.509157509157509,58.3,0.552315608919382,0.12356930902925,413.5,0.856348246674728,0.122448979591837,0.2,0,0.1,0,0,0.572413793103448,0.297520661157025,0.0470588235294118,0.122448979591837,0.0315789473684211,0.273684210526316,0.142857142857143,"Seattle Sounders FC"
"Colorado Rapids",15,10.2,25.2,10.3,10.3,12,2,0.2,1.5,20.3,4.2,1.5,6.3,3.4,0.2,2.2,1,14.2,5.5,1,7.7,1.7,0.4,1.1,0.2,7,9.4,16.4,14,9.3,31.6,16.3,15.3,350.5,27.9,33.2,243,46.4,10.3,3,7.3,0.4,0.3,0,0,0.6,1.1,9,0.5,4.5,0.2,3.3,1.5,0.2,0.6,NA,6.3,"MLS",28,44,28,0.387323943661972,0.0704225352112676,0.542253521126761,0.117647058823529,0.235294117647059,0.647058823529412,0.515822784810127,61.1,0.456628477905074,0.17432239657632,289.4,0.839668279198341,0.29126213592233,0.363636363636364,0.272727272727273,0,0,0.272727272727273,0.573170731707317,0.333333333333333,0.0555555555555556,0.29126213592233,0.0204081632653061,0.336734693877551,0.203883495145631,"Colorado Rapids"
"New England Revolution",15.7,10,25.7,10.6,12.1,12.8,1.9,0.2,1.6,19,3.7,0.9,7.1,3.9,0.3,2.4,1.2,13.4,4.7,0.9,7.8,1.5,0.4,0.9,0.2,8.6,9.8,18.4,17,10.2,31.7,15.9,15.8,389.1,27.8,31.9,269.9,59.5,9.9,1.6,8.3,0.3,0.1,0.1,0,0.7,1.1,9.8,0.5,2.9,0.2,2,0.8,0.5,0.4,NA,7.1,"MLS",30,44,26,0.350746268656716,0.0671641791044776,0.582089552238806,0.133333333333333,0.266666666666667,0.6,0.501577287066246,59.7,0.465661641541039,0.15343099460293,329.4,0.819368548876746,0.161616161616162,0.272727272727273,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.532608695652174,0.228346456692913,0.0510204081632653,0.161616161616162,0.0520833333333333,0.208333333333333,0.121212121212121,"New England Revolution"
"Toronto FC",15.2,8,23.2,8.5,10.6,9.7,1.4,0.1,1.8,14.6,2.4,1.4,6.8,2.7,0.2,1.3,1.2,12.9,4.1,0.9,7.9,1.7,0.4,1,0.3,7.1,9.3,16.4,15.9,9.2,24.1,12.1,12,529.8,32.9,25.8,418.8,52.2,10,1.8,8.2,0.2,0,0.1,0,0.9,1.1,9.5,0.4,2.9,0.2,2.1,1,0.3,0.3,NA,7.4,"MLS",31,42,27,0.317829457364341,0.0697674418604651,0.612403100775194,0.176470588235294,0.235294117647059,0.588235294117647,0.50207468879668,58.7,0.560477001703578,0.110796526991317,471,0.889171974522293,0.18,0.181818181818182,0,0.0909090909090909,0,0,0.567073170731707,0.233870967741935,0.0421052631578947,0.18,0.0306122448979592,0.214285714285714,0.13,"Toronto FC"
"Orlando City",15.9,10.1,26.1,10.3,9.6,11.1,1.8,0.1,1.6,21,2.5,1.2,6.1,3.4,0.1,1.9,1.3,11.4,4.6,1,5.8,1.3,0.2,0.9,0.1,6.9,9.1,16,15,9.3,28.5,14.2,14.3,431.5,27.2,31.1,318.5,54.7,8.4,1.2,7.2,0.2,0.1,0.1,0.1,0.6,0.9,7.9,0.4,3,0.1,1.7,0.9,0.3,0.2,NA,6.1,"MLS",28,43,27,0.403508771929825,0.087719298245614,0.508771929824561,0.0769230769230769,0.153846153846154,0.692307692307692,0.498245614035088,58.3,0.466552315608919,0.135110081112399,373.2,0.853429796355841,0.142857142857143,0.222222222222222,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.56875,0.275229357798165,0.0506329113924051,0.142857142857143,0.037037037037037,0.209876543209877,0.130952380952381,"Orlando City"
"Montreal Impact",16.2,9.1,25.3,10.5,11.3,11.2,1.6,0.1,1.4,17,2.1,1.1,6.8,2.6,0.1,1.5,1,11.5,4.5,1,6.1,1.4,0.3,0.9,0.1,6.5,10.2,16.7,15.3,10.7,28.5,14.6,13.9,456.3,32.7,31.2,338.7,53.6,8.6,1.5,7.1,0.3,0.1,0.1,0,0.5,0.9,7.6,0.5,3.2,0.2,2.1,0.9,0.2,0.4,NA,6,"MLS",26,48,21,0.391304347826087,0.0869565217391304,0.530434782608696,0.0714285714285714,0.214285714285714,0.642857142857143,0.512280701754386,63.9,0.511737089201878,0.140039447731755,392.3,0.863369869997451,0.174418604651163,0.333333333333333,0.111111111111111,0.111111111111111,0,0.111111111111111,0.610778443113772,0.296296296296296,0.0657894736842105,0.174418604651163,0.0240963855421687,0.253012048192771,0.151162790697674,"Montreal Impact"
"Vancouver Whitecaps",14.2,8.4,22.6,11.8,10.9,10.5,1.9,0,1.1,23.8,5.2,1.3,5.2,4.4,0.1,2.5,1.9,10.6,4.3,0.6,5.7,1.1,0.1,0.8,0.1,6.1,8.4,14.6,13.5,8.8,27.6,13.3,14.3,426.9,29.5,32.8,315.6,49,7.5,1.5,6,0.1,0.1,0,0,0.5,0.6,7.5,0.4,2.4,0.2,1.7,0.6,0,0.3,NA,5.7,"MLS",23,42,24,0.405660377358491,0.0566037735849057,0.537735849056604,0.0909090909090909,0.0909090909090909,0.727272727272727,0.481884057971014,62.3,0.473515248796148,0.145935816350433,364.6,0.865606143719144,0.2,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.575342465753425,0.242424242424242,0.0533333333333333,0.2,0,0.22972972972973,0.12,"Vancouver Whitecaps"
"Columbus Crew",16.9,9.9,26.8,10.1,10.3,11.7,1.7,0,1.6,16.4,2.8,1.4,7.7,2.6,0.1,1.5,1,11.6,4.8,0.9,5.9,1.1,0.1,0.9,0.1,7.4,9.3,16.8,14.8,9.3,29.5,13.9,15.6,447.7,30.6,31.9,329.2,56,8.5,1.5,7,0.2,0.1,0,0.1,0.5,0.8,8.3,0.4,2.8,0.1,2.1,0.9,0.1,0.3,NA,6,"MLS",28,44,26,0.413793103448276,0.0775862068965517,0.508620689655172,0.0909090909090909,0.0909090909090909,0.818181818181818,0.471186440677966,62.5,0.4896,0.139602412329685,385.2,0.854620976116303,0.176470588235294,0.25,0.125,0,0.125,0.25,0.553571428571429,0.252252252252252,0.0481927710843373,0.176470588235294,0.0121951219512195,0.25609756097561,0.141176470588235,"Columbus Crew"
"Houston Dynamo",17.3,10.8,28.1,8.4,11.7,12.2,1.9,0.1,2,14.7,3.3,1.3,6.6,3.1,0.1,1.6,1.4,13.4,5.8,1,6.5,1.4,0.2,1,0.1,6.7,8.6,15.3,13.5,8.4,26.1,11.3,14.8,412.4,28.2,29.7,307,47.5,9.8,1.6,8.2,0.1,0,0.1,0,0.8,1.1,10,0.4,2.8,0.1,1.6,0.5,0.4,0.3,NA,7.6,"MLS",27,45,26,0.432835820895522,0.0746268656716418,0.485074626865672,0.0714285714285714,0.142857142857143,0.714285714285714,0.432950191570881,57.9,0.487046632124352,0.140397672162949,354.5,0.866008462623413,0.163265306122449,0.0909090909090909,0,0.0909090909090909,0,0,0.562091503267974,0.21875,0.04,0.163265306122449,0.0416666666666667,0.166666666666667,0.0816326530612245,"Houston Dynamo"
"Sporting Kansas City",14.1,10.9,25.1,9.1,11.6,12.3,2.1,0.2,1.4,16.2,3,0.9,6.9,3.4,0.1,2.1,1.3,14.7,6.3,0.6,7.7,1.4,0.3,0.8,0.3,6.6,8,14.6,15.3,8,28.2,13.3,14.9,467.9,30.1,27.7,357.7,52.4,10.1,1.9,8.2,0.1,0,0.1,0,0.6,0.9,10.1,0.4,3.8,0.3,1.8,0.9,0.5,0.3,NA,7.4,"MLS",29,42,26,0.428571428571429,0.0408163265306122,0.523809523809524,0.214285714285714,0.214285714285714,0.571428571428572,0.471631205673759,57.8,0.520761245674741,0.123530668946356,410.1,0.872226286271641,0.188118811881188,0.111111111111111,0,0.111111111111111,0,0,0.547945205479452,0.273381294964029,0.0396039603960396,0.188118811881188,0.0515463917525773,0.185567010309278,0.118811881188119,"Sporting Kansas City"
"FC Cincinnati",15.2,8.2,23.4,10.7,11.3,10.9,1.6,0.1,1.9,19.6,3.8,1.1,6.3,2.7,0.3,1.5,0.9,10.6,4.4,0.6,5.6,0.9,0.1,0.7,0.1,6.4,8.4,14.8,15.6,7.8,32.4,16.3,16.1,409.3,30.3,34.1,289.3,55.6,8,1.8,6.2,0.1,0,0.1,0,0.3,0.6,7.4,0.2,2.8,0.1,1.7,0.8,0.3,0.6,NA,5.5,"MLS",25,45,25,0.415094339622642,0.0566037735849057,0.528301886792453,0.111111111111111,0.111111111111111,0.777777777777778,0.503086419753086,64.4,0.470496894409938,0.157341803078427,344.9,0.838793853290809,0.225,0.166666666666667,0,0.166666666666667,0,0,0.567567567567568,0.274509803921569,0.027027027027027,0.225,0.04,0.226666666666667,0.175,"FC Cincinnati"
"Atalanta",16.8,10.2,26.9,10.2,14,13.6,2.1,0.1,1.4,13.1,3.1,1.2,7.3,2.3,0.1,1.2,1,20.1,6.7,1.5,12,2.8,0.6,1.7,0.5,7.2,9.1,16.2,15.6,9.6,30.5,16,14.5,522.4,28.4,25.7,407.5,60.8,15,1.2,13.7,0.3,0,0.2,0,1.4,2,14.4,0.8,4.6,0.3,3.1,1.1,0.6,0.4,0.1,11,"Serie A",32,45,24,0.333333333333333,0.0746268656716418,0.597014925373134,0.178571428571429,0.214285714285714,0.607142857142857,0.524590163934426,54.1,0.524953789279113,0.103560490045942,468.3,0.870168695280803,0.08,0.15,0,0.1,0,0,0.561728395061728,0.242105263157895,0.0555555555555556,0.08,0.0408163265306122,0.210884353741497,0.1,"Atalanta"
"Lazio",15,10.7,25.7,10.6,10.5,12,2.6,0.1,1.8,17,3.7,1.3,6.8,3.1,0.1,1.4,1.6,15.8,5.1,0.7,10,2.3,0.2,1.9,0.2,5.8,9.8,15.6,13.5,7.6,25.7,12.2,13.5,472.9,33.7,20.5,365.6,53.1,12,1.7,10.3,0.2,0,0.2,0,1,1.4,10.7,1.3,3.3,0.5,2.8,1,0.7,0.2,0,8.3,"Serie A",29,45,30,0.322784810126582,0.0443037974683544,0.632911392405063,0.0869565217391304,0.0869565217391304,0.826086956521739,0.474708171206226,54.2,0.621771217712177,0.114611968703743,418.7,0.873178887031287,0.141666666666667,0.142857142857143,0,0.142857142857143,0,0,0.628205128205128,0.235714285714286,0.121495327102804,0.141666666666667,0.0593220338983051,0.23728813559322,0.1,"Lazio"
"Juventus",14.3,9.1,23.5,9.9,12.8,13.5,2.2,0.1,1.9,15.7,2.8,1.9,6.7,3.2,0.1,1.6,1.5,17.5,6.9,1,9.5,1.9,0.3,1.4,0.2,6.7,11.2,18,14.4,7.3,22,12.5,9.5,577.8,29.8,18.5,477.2,52.3,12.9,2.1,10.8,0.2,0.1,0.1,0,0.9,1.2,12.6,0.7,3.9,0.3,2.6,0.9,0.3,0.3,0,9.8,"Serie A",31,45,28,0.394285714285714,0.0571428571428571,0.542857142857143,0.105263157894737,0.157894736842105,0.736842105263158,0.568181818181818,48.3,0.616977225672878,0.0835929387331256,529.5,0.901227573182247,0.162790697674419,0.166666666666667,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0.622222222222222,0.236363636363636,0.0555555555555556,0.162790697674419,0.0236220472440945,0.204724409448819,0.0930232558139535,"Juventus"
"Inter",14.2,11.2,25.3,9.8,11.1,15,2.6,0.2,2.6,17.5,3.3,2,6.7,2.5,0.1,1.3,1.2,16.2,6.2,1.1,8.9,2,0.3,1.4,0.3,5.2,8.5,13.6,12.6,7.7,27.8,14.8,13,500.2,32.5,20.1,392.4,55.2,11.6,1.7,9.9,0.4,0,0,0,0.9,1.3,11.7,0.6,3.7,0.3,3,1,0.2,0.3,0,8.2,"Serie A",28,44,28,0.382716049382716,0.0679012345679012,0.549382716049383,0.15,0.15,0.7,0.532374100719424,52.6,0.61787072243346,0.10515793682527,447.6,0.876675603217158,0.146551724137931,0.307692307692308,0,0,0,0,0.625,0.24025974025974,0.0512820512820513,0.146551724137931,0.0175438596491228,0.263157894736842,0.112068965517241,"Inter"
